name,na,nc,ns,fs,fc,pitch,element_width,aperture_width,zlims,angles_range,RF,IQ,type,source,set,path
INS004,75,128,1536,20.833,5.208,0.298,0.25,37.846,"[10e-3, 55e-3]","[-16, 16]",1,1,phantom,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/INS004.hdf5
INS006,75,128,1536,20.833,5.208,0.298,0.25,37.846,"[10e-3, 55e-3]","[-16, 16]",1,1,phantom,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/INS006.hdf5
INS008,75,128,1536,20.833,5.208,0.298,0.25,37.846,"[10e-3, 55e-3]","[-16, 16]",1,1,phantom,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/INS008.hdf5
INS015,75,128,1920,31.25,7.813,0.1953,0.1703,24.8,"[10e-3, 46e-3]","[-16, 16]",1,1,phantom,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/INS015.hdf5
INS016,75,128,1920,31.25,7.813,0.1953,0.1703,24.8,"[10e-3, 46e-3]","[-16, 16]",1,1,phantom,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/INS016.hdf5
INS019,75,128,1920,31.25,7.813,0.1953,0.1703,24.8,"[10e-3, 46e-3]","[-16, 16]",1,1,phantom,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/INS019.hdf5
INS021,75,128,1920,31.25,7.813,0.1953,0.1703,24.8,"[10e-3, 46e-3]","[-16, 16]",1,1,phantom,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/INS021.hdf5
OSL007,75,128,1920,20.86672,5.208333,0.298,0.25,38.100005,"[10e-3, 65e-3]","[-16, 16]",1,1,phantom,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/OSL007.hdf5
OSL010,75,128,1777,20.8,5.13,0.3,0.25,38.1,"[10e-3, 50e-3]","[-16, 16]",1,1,simulation,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/OSL010.hdf5
TSH002,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/TSH002.hdf5
JHU024,73,128,1558,40.0,12.5,0.2,0.11,25.6,"[0e-3, 30e-3]","[-8, 8]",1,1,in vivo,CUBDL,Post CUBDL JHU Breast Data,/mnt/g/memoria_data/data/CUBDL/2_Post_CUBDL_JHU_Breast_Data/JHU024.hdf5
JHU025,73,128,1558,40.0,12.5,0.2,0.11,25.6,"[0e-3, 30e-3]","[-8, 8]",1,1,in vivo,CUBDL,Post CUBDL JHU Breast Data,/mnt/g/memoria_data/data/CUBDL/2_Post_CUBDL_JHU_Breast_Data/JHU025.hdf5
JHU026,73,128,1558,40.0,12.5,0.2,0.11,25.6,"[0e-3, 30e-3]","[-8, 8]",1,1,in vivo,CUBDL,Post CUBDL JHU Breast Data,/mnt/g/memoria_data/data/CUBDL/2_Post_CUBDL_JHU_Breast_Data/JHU026.hdf5
JHU027,73,128,1558,40.0,12.5,0.2,0.11,25.6,"[0e-3, 30e-3]","[-8, 8]",1,1,in vivo,CUBDL,Post CUBDL JHU Breast Data,/mnt/g/memoria_data/data/CUBDL/2_Post_CUBDL_JHU_Breast_Data/JHU027.hdf5
JHU028,75,128,1558,40.0,12.5,0.2,0.11,25.6,"[0e-3, 30e-3]","[-16, 16]",1,1,in vivo,CUBDL,Post CUBDL JHU Breast Data,/mnt/g/memoria_data/data/CUBDL/2_Post_CUBDL_JHU_Breast_Data/JHU028.hdf5
JHU029,75,128,1558,40.0,12.5,0.2,0.11,25.6,"[0e-3, 30e-3]","[-16, 16]",1,1,in vivo,CUBDL,Post CUBDL JHU Breast Data,/mnt/g/memoria_data/data/CUBDL/2_Post_CUBDL_JHU_Breast_Data/JHU029.hdf5
JHU030,73,128,1558,40.0,12.5,0.2,0.11,25.6,"[0e-3, 30e-3]","[-8, 8]",1,1,in vivo,CUBDL,Post CUBDL JHU Breast Data,/mnt/g/memoria_data/data/CUBDL/2_Post_CUBDL_JHU_Breast_Data/JHU030.hdf5
JHU031,75,128,1558,40.0,12.5,0.2,0.11,25.6,"[0e-3, 30e-3]","[-16, 16]",1,1,in vivo,CUBDL,Post CUBDL JHU Breast Data,/mnt/g/memoria_data/data/CUBDL/2_Post_CUBDL_JHU_Breast_Data/JHU031.hdf5
JHU032,75,128,1558,40.0,12.5,0.2,0.11,25.6,"[0e-3, 30e-3]","[-16, 16]",1,1,in vivo,CUBDL,Post CUBDL JHU Breast Data,/mnt/g/memoria_data/data/CUBDL/2_Post_CUBDL_JHU_Breast_Data/JHU032.hdf5
JHU033,75,128,1558,40.0,5.5,0.3,0.24,38.4,"[0e-3, 30e-3]","[-16, 16]",1,1,in vivo,CUBDL,Post CUBDL JHU Breast Data,/mnt/g/memoria_data/data/CUBDL/2_Post_CUBDL_JHU_Breast_Data/JHU033.hdf5
JHU034,75,128,1558,40.0,5.5,0.3,0.24,38.4,"[0e-3, 30e-3]","[-16, 16]",1,1,in vivo,CUBDL,Post CUBDL JHU Breast Data,/mnt/g/memoria_data/data/CUBDL/2_Post_CUBDL_JHU_Breast_Data/JHU034.hdf5
MYO006,75,128,2688,28.96,6.25,0.3,0.27,38.4,"[5e-3, 55e-3]","[-16, 16]",1,1,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/MYO006.hdf5
UFL003,75,128,4480,78.125,8.0,0.245,0.215,31.36,"[20e-3, 50e-3]","[-15, 15]",1,1,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/UFL003.hdf5
EUT001,75,80,1664,12.5,3.125,0.254,0.25,20.3,"[10e-3, 80e-3]","[-16, 16]",1,1,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/EUT001.hdf5
EUT002,75,80,1664,12.5,3.125,0.254,0.25,20.3,"[10e-3, 80e-3]","[-16, 16]",1,1,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/EUT002.hdf5
EUT004,75,80,1664,12.5,3.125,0.254,0.25,20.3,"[10e-3, 80e-3]","[-16, 16]",1,1,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/EUT004.hdf5
EUT005,75,80,1664,12.5,3.125,0.254,0.25,20.3,"[10e-3, 80e-3]","[-16, 16]",1,1,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/EUT005.hdf5
INS001,75,128,1536,20.833,5.208,0.298,0.25,37.846,"[10e-3, 55e-3]","[-16, 16]",1,1,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/INS001.hdf5
INS002,75,128,1536,20.833,5.208,0.298,0.25,37.846,"[10e-3, 55e-3]","[-16, 16]",1,1,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/INS002.hdf5
INS003,75,128,1536,20.833,5.208,0.298,0.25,37.846,"[10e-3, 55e-3]","[-16, 16]",1,1,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/INS003.hdf5
INS005,75,128,1536,20.833,5.208,0.298,0.25,37.846,"[10e-3, 55e-3]","[-16, 16]",1,1,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/INS005.hdf5
INS007,75,128,1536,20.833,5.208,0.298,0.25,37.846,"[10e-3, 55e-3]","[-16, 16]",1,1,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/INS007.hdf5
INS009,75,128,1536,20.833,5.208,0.298,0.25,37.846,"[10e-3, 55e-3]","[-16, 16]",1,1,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/INS009.hdf5
INS010,75,128,1536,20.833,5.208,0.298,0.25,37.846,"[10e-3, 55e-3]","[-16, 16]",1,1,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/INS010.hdf5
INS011,75,128,1536,20.833,5.208,0.298,0.25,37.846,"[10e-3, 55e-3]","[-16, 16]",1,1,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/INS011.hdf5
INS012,75,128,1536,20.833,5.208,0.298,0.25,37.846,"[10e-3, 55e-3]","[-16, 16]",1,1,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/INS012.hdf5
INS013,75,128,1536,20.833,5.208,0.298,0.25,37.846,"[10e-3, 55e-3]","[-16, 16]",1,1,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/INS013.hdf5
INS014,75,128,1920,31.25,7.813,0.1953,0.1703,24.8,"[10e-3, 46e-3]","[-16, 16]",1,1,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/INS014.hdf5
INS017,75,128,1920,31.25,7.813,0.1953,0.1703,24.8,"[10e-3, 46e-3]","[-16, 16]",1,1,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/INS017.hdf5
INS018,75,128,1920,31.25,7.813,0.1953,0.1703,24.8,"[10e-3, 46e-3]","[-16, 16]",1,1,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/INS018.hdf5
INS020,75,128,1920,31.25,7.813,0.1953,0.1703,24.8,"[10e-3, 46e-3]","[-16, 16]",1,1,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/INS020.hdf5
INS022,75,128,1920,31.25,7.813,0.1953,0.1703,24.8,"[10e-3, 46e-3]","[-16, 16]",1,1,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/INS022.hdf5
INS023,75,128,1920,31.25,7.813,0.1953,0.1703,24.8,"[10e-3, 46e-3]","[-16, 16]",1,1,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/INS023.hdf5
INS024,75,128,1920,31.25,7.813,0.1953,0.1703,24.8,"[10e-3, 46e-3]","[-16, 16]",1,1,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/INS024.hdf5
INS025,75,128,1920,31.25,7.813,0.1953,0.1703,24.8,"[10e-3, 46e-3]","[-16, 16]",1,1,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/INS025.hdf5
INS026,75,128,1920,31.25,7.813,0.1953,0.1703,24.8,"[10e-3, 46e-3]","[-16, 16]",1,1,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/INS026.hdf5
OSL002,75,128,1920,20.86672,5.208333,0.298,0.25,38.1,"[10e-3, 65e-3]","[-16, 16]",1,1,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/OSL002.hdf5
OSL003,75,128,1920,20.86672,5.208333,0.298,0.25,38.100001,"[10e-3, 65e-3]","[-16, 16]",1,1,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/OSL003.hdf5
OSL004,75,128,1920,20.86672,5.208333,0.298,0.25,38.100002,"[10e-3, 65e-3]","[-16, 16]",1,1,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/OSL004.hdf5
OSL005,75,128,1920,20.86672,5.208333,0.298,0.25,38.100003,"[10e-3, 65e-3]","[-16, 16]",1,1,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/OSL005.hdf5
OSL006,75,128,1920,20.86672,5.208333,0.298,0.25,38.100004,"[10e-3, 65e-3]","[-16, 16]",1,1,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/OSL006.hdf5
TSH003,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH003.hdf5
TSH004,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH004.hdf5
TSH005,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH005.hdf5
TSH006,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH006.hdf5
TSH007,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH007.hdf5
TSH008,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH008.hdf5
TSH009,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH009.hdf5
TSH010,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH010.hdf5
TSH011,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH011.hdf5
TSH012,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH012.hdf5
TSH013,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH013.hdf5
TSH014,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH014.hdf5
TSH015,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH015.hdf5
TSH016,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH016.hdf5
TSH017,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH017.hdf5
TSH018,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH018.hdf5
TSH019,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH019.hdf5
TSH020,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH020.hdf5
TSH021,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH021.hdf5
TSH022,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH022.hdf5
TSH023,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH023.hdf5
TSH024,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH024.hdf5
TSH025,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH025.hdf5
TSH026,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH026.hdf5
TSH027,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH027.hdf5
TSH028,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH028.hdf5
TSH029,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH029.hdf5
TSH030,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH030.hdf5
TSH031,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH031.hdf5
TSH032,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH032.hdf5
TSH033,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH033.hdf5
TSH034,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH034.hdf5
TSH035,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH035.hdf5
TSH036,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH036.hdf5
TSH037,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH037.hdf5
TSH038,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH038.hdf5
TSH039,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH039.hdf5
TSH040,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH040.hdf5
TSH041,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH041.hdf5
TSH042,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH042.hdf5
TSH043,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH043.hdf5
TSH044,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH044.hdf5
TSH045,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH045.hdf5
TSH046,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH046.hdf5
TSH047,31,128,2048,6.25,7.5,0.3,0.27,38.37,"[10e-3, 40e-3]","[-15, 15]",1,1,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH047.hdf5
